@RELATION data

@ATTRIBUTE timestamp DATE "MM/dd/yyyy"
@ATTRIBUTE mortality_rate NUMERIC
@ATTRIBUTE T2M NUMERIC
@ATTRIBUTE PM10 NUMERIC

@DATA
1/2/2007,2.264,278.138,42.358
1/3/2007,2.03,281.745,49.506
1/4/2007,1.874,280.523,51.101
1/5/2007,2.069,280.421,47.478
1/6/2007,1.913,278.961,45.226
1/7/2007,1.756,281.504,53.226
1/8/2007,1.756,279.519,48.177
1/9/2007,2.147,281.866,56.917
1/10/2007,2.186,278.044,45.757
1/11/2007,1.249,280.358,56.388
1/12/2007,2.342,282.104,56.014
1/13/2007,1.444,280.847,55.656
1/14/2007,1.678,279.163,54.312
1/15/2007,2.186,280.905,56.654
1/16/2007,1.795,276.678,33.107
1/17/2007,1.678,278.028,50.589
1/18/2007,2.576,278.681,45.819
1/19/2007,2.03,280.647,49.809
1/20/2007,1.756,278.567,49.056
1/21/2007,1.834,275.684,47.73
1/22/2007,1.834,275.259,48.284
1/23/2007,1.756,272.845,42.107
1/24/2007,1.678,275.514,52.358
1/25/2007,2.186,274.234,41.495
1/26/2007,1.327,277.705,46.715
1/27/2007,1.834,278.78,48
1/28/2007,1.366,280.84,54.158
1/29/2007,1.913,280.227,47.568
1/30/2007,1.834,277.497,49.412
1/31/2007,2.147,282.047,49.603
2/1/2007,1.6,281.423,39.469
2/2/2007,1.678,279.311,43.624
2/3/2007,1.6,276.103,38.709
2/4/2007,1.678,275.448,34.037
2/5/2007,1.639,274.143,38.911
2/6/2007,1.522,272.302,36.65
2/7/2007,1.21,272.776,37.98
2/8/2007,1.756,273.698,33.293
2/9/2007,1.991,273.945,35.499
2/10/2007,2.342,275.422,27.243
2/11/2007,1.991,277.493,36.894
2/12/2007,2.342,277.715,38.699
2/13/2007,1.834,278.106,44.007
2/14/2007,1.795,277.976,44.311
2/15/2007,1.795,280.167,45.565
2/16/2007,2.303,279.535,30.266
2/17/2007,1.834,277.949,32.182
2/18/2007,2.537,275.991,42.506
2/19/2007,1.795,278.86,17.991
2/20/2007,1.756,280.551,36.77
2/21/2007,1.795,278.83,38.748
2/22/2007,2.225,280.151,35.486
2/23/2007,1.795,280.312,37.194
2/24/2007,1.561,280.282,36.966
2/25/2007,1.717,278.854,40.043
2/26/2007,2.186,277.452,52.316
2/27/2007,2.381,278.807,46.232
2/28/2007,1.991,279.545,62.571
3/1/2007,2.225,278.097,62.66
3/2/2007,1.913,277.712,43.893
3/3/2007,1.795,278.417,50.116
3/4/2007,1.678,278.278,45.409
3/5/2007,2.108,279.612,73.374
3/6/2007,2.225,280.425,72.807
3/7/2007,1.522,279.295,61.934
3/8/2007,2.069,279.372,62.773
3/9/2007,2.108,278.603,68.593
3/10/2007,1.795,281.709,66.654
3/11/2007,1.405,282.596,68.784
3/12/2007,1.834,281.12,62.78
3/13/2007,1.522,279.907,58.624
3/14/2007,1.717,280.895,59.64
3/15/2007,2.147,280.226,66.025
3/16/2007,1.522,279.135,66.917
3/17/2007,1.561,281.801,63.365
3/18/2007,1.6,275.632,77.163
3/19/2007,1.639,275.383,64.568
3/20/2007,1.874,274.244,79.2
3/21/2007,1.678,275.065,71.234
3/22/2007,2.069,279.48,56.578
3/23/2007,1.6,278.897,61.215
3/24/2007,1.913,278.047,51.998
3/25/2007,1.444,280.596,60.507
3/26/2007,2.381,280.297,57.838
3/27/2007,1.639,281.351,57.427
3/28/2007,1.444,280.383,53.143
3/29/2007,1.405,279.72,63.753
3/30/2007,1.327,280.258,67.513
3/31/2007,1.717,280.154,75.732
4/1/2007,1.444,279.832,79.566
4/2/2007,2.264,279.524,76.821
4/3/2007,1.639,278.887,63.933
4/4/2007,1.483,280.827,54.168
4/5/2007,1.756,282.669,55.422
4/6/2007,2.303,281.321,60.3
4/7/2007,1.6,281.625,66.361
4/8/2007,1.249,282.585,69.997
4/9/2007,1.288,283.353,66
4/10/2007,1.405,283.781,62.46
4/11/2007,1.678,283.556,58.138
4/12/2007,1.249,283.305,55.712
4/13/2007,1.874,283.049,48.739
4/14/2007,1.678,285.436,60.532
4/15/2007,1.6,286.962,80.509
4/16/2007,2.147,284.624,64.48
4/17/2007,1.6,281.901,73.241
4/18/2007,1.639,281.364,74.776
4/19/2007,1.132,282.212,72.024
4/20/2007,1.444,280.416,61.089
4/21/2007,1.795,285.006,73.475
4/22/2007,1.366,284.698,76.663
4/23/2007,1.327,285.253,51.4
4/24/2007,1.717,286.269,50.879
4/25/2007,1.991,286.014,59.135
4/26/2007,0.976,283.298,60.357
4/27/2007,1.483,281.891,66.301
4/28/2007,1.405,282.637,69.141
4/29/2007,1.444,283.603,71.959
4/30/2007,1.171,283.219,71.618
5/1/2007,1.483,283.646,72.321
5/2/2007,1.405,282.266,71.246
5/3/2007,1.366,282.368,70.807
5/4/2007,1.522,281.853,67.217
5/5/2007,1.483,284.093,71.167
5/6/2007,1.093,284.205,64.781
5/7/2007,1.678,283.536,55.935
5/8/2007,1.6,283.374,59.115
5/9/2007,1.678,283.13,56.972
5/10/2007,1.327,282.98,62.801
5/11/2007,2.108,281.526,68.83
5/12/2007,1.366,283.734,59.537
5/13/2007,1.405,282.508,66.022
5/14/2007,1.834,281.278,76.001
5/15/2007,1.171,282.596,62.078
5/16/2007,1.015,281.724,52.715
5/17/2007,1.483,285.847,40.932
5/18/2007,1.366,285.436,58.829
5/19/2007,1.639,283.897,68.238
5/20/2007,1.444,283.848,64.774
5/21/2007,1.366,284.521,68.816
5/22/2007,1.6,285.01,69.091
5/23/2007,1.327,286.681,49.629
5/24/2007,1.405,287.527,49.16
5/25/2007,1.288,283.736,64.874
5/26/2007,1.171,282.521,61.852
5/27/2007,1.21,281.049,66.769
5/28/2007,1.171,281.505,68.27
5/29/2007,1.444,281.984,61.13
5/30/2007,1.444,284.53,60.226
5/31/2007,1.756,285.95,52.474
6/1/2007,1.522,286.795,61.886
6/2/2007,1.366,288.964,73.844
6/3/2007,2.147,288.969,75.68
6/4/2007,1.639,286.362,74.691
6/5/2007,1.522,284.946,78.109
6/6/2007,1.249,284.854,81.095
6/7/2007,1.249,285.995,76.183
6/8/2007,1.21,288.572,79.865
6/9/2007,1.678,289.406,83.548
6/10/2007,1.327,289.084,90.678
6/11/2007,1.483,290.501,89.173
6/12/2007,1.678,288.734,72.102
6/13/2007,1.756,285.728,57.83
6/14/2007,1.6,283.538,60.009
6/15/2007,1.366,283.355,63.523
6/16/2007,1.678,285.86,59.051
6/17/2007,1.21,286.846,57.241
6/18/2007,1.327,286.498,68.74
6/19/2007,1.327,288.388,59.573
6/20/2007,1.171,289.1,65.513
6/21/2007,1.678,287.775,48.754
6/22/2007,1.678,286.917,51.053
6/23/2007,1.6,286.683,62.548
6/24/2007,1.639,285.832,55.935
6/25/2007,1.561,284.732,61.857
6/26/2007,1.522,284.211,48.586
6/27/2007,1.405,283.676,43.538
6/28/2007,1.444,284.027,48.002
6/29/2007,1.171,285.519,50.085
6/30/2007,1.327,285.336,34.842
7/1/2007,1.444,287.841,42.141
7/2/2007,1.288,287.343,50.426
7/3/2007,1.522,285.802,46.718
7/4/2007,1.6,286.574,48.8
7/5/2007,1.171,287.042,54.984
7/6/2007,0.937,286.491,48.377
7/7/2007,1.21,286.175,56.284
7/8/2007,0.937,286.833,46.987
7/9/2007,1.561,286.186,46.682
7/10/2007,1.561,287.195,47.54
7/11/2007,1.249,287.384,50.75
7/12/2007,1.6,288.276,37.237
7/13/2007,1.327,286.67,36.451
7/14/2007,1.639,288.601,43.193
7/15/2007,1.444,287.302,50.251
7/16/2007,1.366,288.975,54.618
7/17/2007,1.756,287.415,48.083
7/18/2007,1.054,287.148,48.985
7/19/2007,1.678,287.115,55.475
7/20/2007,1.522,286.978,53.741
7/21/2007,1.249,283.384,52.503
7/22/2007,1.132,286.232,52.575
7/23/2007,1.522,286.543,54.77
7/24/2007,1.366,287.254,59.895
7/25/2007,1.21,287.385,46.326
7/26/2007,1.561,287.004,41.344
7/27/2007,1.522,287.608,47.324
7/28/2007,1.327,286.876,49.687
7/29/2007,1.366,285.289,44.999
7/30/2007,1.093,285.756,46.921
7/31/2007,1.678,287.783,51.153
8/1/2007,1.366,288.345,49.573
8/2/2007,1.522,287.308,40.211
8/3/2007,1.366,289.12,38.813
8/4/2007,1.483,290.722,38.964
8/5/2007,1.6,291.328,56.615
8/6/2007,1.327,287.858,53.833
8/7/2007,1.405,285.889,52.391
8/8/2007,1.327,286.671,46.593
8/9/2007,1.288,287.349,47.464
8/10/2007,1.171,287.896,42.241
8/11/2007,1.288,288.805,45.377
8/12/2007,1.444,286.895,51.06
8/13/2007,1.678,286.268,45.486
8/14/2007,1.171,286.625,31.496
8/15/2007,1.366,287.143,51.841
8/16/2007,1.561,285.155,48.365
8/17/2007,1.132,285.658,53.303
8/18/2007,1.171,286.448,35.484
8/19/2007,1.249,286.057,44.833
8/20/2007,1.913,285.663,52.577
8/21/2007,1.561,287.257,59.004
8/22/2007,1.444,287.613,62.796
8/23/2007,1.522,287.107,50.388
8/24/2007,1.678,288.805,39.43
8/25/2007,1.21,289.15,35.084
8/26/2007,1.015,287.019,48.172
8/27/2007,1.405,286.385,40.353
8/28/2007,1.171,285.54,37.618
8/29/2007,1.093,285.606,43.537
8/30/2007,1.522,287.998,40.075
8/31/2007,1.405,288.044,46.694
9/1/2007,1.444,287.82,43.44
9/2/2007,1.249,287.4,43.224
9/3/2007,1.054,284.733,45.509
9/4/2007,1.288,284.749,44.273
9/5/2007,1.717,289.327,37.065
9/6/2007,1.288,289.2,33.718
9/7/2007,1.327,288.244,37.959
9/8/2007,1.6,287.993,41.284
9/9/2007,1.366,287.225,39.47
9/10/2007,1.366,286.489,46.899
9/11/2007,1.678,286.043,38.501
9/12/2007,1.171,287.891,45.801
9/13/2007,1.21,287.525,46.767
9/14/2007,1.444,285.819,51.417
9/15/2007,1.327,285.047,43.532
9/16/2007,1.405,287.312,49.566
9/17/2007,1.522,282.259,47.323
9/18/2007,1.795,280.945,46.711
9/19/2007,1.717,286.072,45.808
9/20/2007,1.522,285.59,47.57
9/21/2007,1.561,284.552,45
9/22/2007,1.522,285.832,46.351
9/23/2007,1.991,287.88,48.506
9/24/2007,1.639,284.771,48.371
9/25/2007,1.327,283.266,43.922
9/26/2007,0.937,280.388,53.076
9/27/2007,0.898,281.763,53.112
9/28/2007,1.717,283.397,48.012
9/29/2007,1.093,283.443,47.973
9/30/2007,0.976,282.589,39.434
10/1/2007,1.444,283.334,35.6
10/2/2007,1.6,283.605,40.558
10/3/2007,1.327,284.776,39.504
10/4/2007,1.327,284.534,47.145
10/5/2007,1.678,283.251,32.839
10/6/2007,1.288,284.273,33.084
10/7/2007,1.288,284.597,41.714
10/8/2007,1.522,282.901,42.329
10/9/2007,1.405,284.525,26.487
10/10/2007,1.249,284.41,39.844
10/11/2007,1.405,286.483,34.692
10/12/2007,1.639,287.617,30.339
10/13/2007,1.132,287.636,27.973
10/14/2007,1.327,286.077,43.467
10/15/2007,1.288,285.087,45.788
10/16/2007,1.561,283.966,51.037
10/17/2007,1.444,281.295,54.765
10/18/2007,1.639,280.023,38.809
10/19/2007,1.405,280.85,42.846
10/20/2007,1.834,280.793,27.933
10/21/2007,1.522,280.05,29.534
10/22/2007,1.483,280.82,22.635
10/23/2007,1.483,280.016,16.425
10/24/2007,1.366,280.31,35.149
10/25/2007,2.108,281.674,41.465
10/26/2007,1.756,282.266,27.276
10/27/2007,0.898,285.649,40.98
10/28/2007,1.756,284.476,54.278
10/29/2007,1.171,280.327,53.439
10/30/2007,1.366,281.436,48.808
10/31/2007,1.483,285.043,44.169
11/1/2007,1.483,286.122,43.764
11/2/2007,1.639,285.412,42.974
11/3/2007,1.21,283.096,47.976
11/4/2007,1.288,280.498,38.647
11/5/2007,1.952,281.498,51.745
11/6/2007,1.561,280.834,62.96
11/7/2007,1.21,283.677,60.713
11/8/2007,1.288,280.605,63.718
11/9/2007,1.874,278.156,69.759
11/10/2007,1.288,282.455,56.509
11/11/2007,1.678,279.063,60.83
11/12/2007,1.639,275.483,44.031
11/13/2007,1.483,279.274,48.79
11/14/2007,1.834,278.712,32.271
11/15/2007,1.249,276.466,23.274
11/16/2007,1.21,279.459,22.193
11/17/2007,1.678,280.293,41.526
11/18/2007,1.639,277.375,37.616
11/19/2007,1.874,278.679,31.409
11/20/2007,1.405,279.756,31.93
11/21/2007,1.795,281.035,16.623
11/22/2007,1.561,278.518,41.055
11/23/2007,1.874,274.533,46.762
11/24/2007,1.522,278.645,55.386
11/25/2007,1.913,277.771,50.717
11/26/2007,1.991,276.753,37.406
11/27/2007,1.6,279.857,39.575
11/28/2007,1.717,281.864,47.294
11/29/2007,1.405,278.728,53.786
11/30/2007,1.913,283.155,51.247
12/1/2007,1.483,278.583,57.261
12/2/2007,1.756,279.282,47.374
12/3/2007,1.756,277.332,50.387
12/4/2007,1.834,281.144,47.629
12/5/2007,1.952,282.823,56.239
12/6/2007,2.069,282.29,52.627
12/7/2007,2.069,278.542,57.052
12/8/2007,1.874,277.134,49.944
12/9/2007,1.717,277.616,47.025
12/10/2007,1.952,276.081,45.927
