mortality_rate,T2M,O3
2.264,278.138,42.358
2.03,281.745,49.506
1.874,280.523,51.101
2.069,280.421,47.478
1.913,278.961,45.226
1.756,281.504,53.226
1.756,279.519,48.177
2.147,281.866,56.917
2.186,278.044,45.757
1.249,280.358,56.388
2.342,282.104,56.014
1.444,280.847,55.656
1.678,279.163,54.312
2.186,280.905,56.654
1.795,276.678,33.107
1.678,278.028,50.589
2.576,278.681,45.819
2.03,280.647,49.809
1.756,278.567,49.056
1.834,275.684,47.73
1.834,275.259,48.284
1.756,272.845,42.107
1.678,275.514,52.358
2.186,274.234,41.495
1.327,277.705,46.715
1.834,278.78,48
1.366,280.84,54.158
1.913,280.227,47.568
1.834,277.497,49.412
2.147,282.047,49.603
1.6,281.423,39.469
1.678,279.311,43.624
1.6,276.103,38.709
1.678,275.448,34.037
1.639,274.143,38.911
1.522,272.302,36.65
1.21,272.776,37.98
1.756,273.698,33.293
1.991,273.945,35.499
2.342,275.422,27.243
1.991,277.493,36.894
2.342,277.715,38.699
1.834,278.106,44.007
1.795,277.976,44.311
1.795,280.167,45.565
2.303,279.535,30.266
1.834,277.949,32.182
2.537,275.991,42.506
1.795,278.86,17.991
1.756,280.551,36.77
1.795,278.83,38.748
2.225,280.151,35.486
1.795,280.312,37.194
1.561,280.282,36.966
1.717,278.854,40.043
2.186,277.452,52.316
2.381,278.807,46.232
1.991,279.545,62.571
2.225,278.097,62.66
1.913,277.712,43.893
1.795,278.417,50.116
1.678,278.278,45.409
2.108,279.612,73.374
2.225,280.425,72.807
1.522,279.295,61.934
2.069,279.372,62.773
2.108,278.603,68.593
1.795,281.709,66.654
1.405,282.596,68.784
1.834,281.12,62.78
1.522,279.907,58.624
1.717,280.895,59.64
2.147,280.226,66.025
1.522,279.135,66.917
1.561,281.801,63.365
1.6,275.632,77.163
1.639,275.383,64.568
1.874,274.244,79.2
1.678,275.065,71.234
2.069,279.48,56.578
1.6,278.897,61.215
1.913,278.047,51.998
1.444,280.596,60.507
2.381,280.297,57.838
1.639,281.351,57.427
1.444,280.383,53.143
1.405,279.72,63.753
1.327,280.258,67.513
1.717,280.154,75.732
1.444,279.832,79.566
2.264,279.524,76.821
1.639,278.887,63.933
1.483,280.827,54.168
1.756,282.669,55.422
2.303,281.321,60.3
1.6,281.625,66.361
1.249,282.585,69.997
1.288,283.353,66
1.405,283.781,62.46
1.678,283.556,58.138
1.249,283.305,55.712
1.874,283.049,48.739
1.678,285.436,60.532
1.6,286.962,80.509
2.147,284.624,64.48
1.6,281.901,73.241
1.639,281.364,74.776
1.132,282.212,72.024
1.444,280.416,61.089
1.795,285.006,73.475
1.366,284.698,76.663
1.327,285.253,51.4
1.717,286.269,50.879
1.991,286.014,59.135
0.976,283.298,60.357
1.483,281.891,66.301
1.405,282.637,69.141
1.444,283.603,71.959
1.171,283.219,71.618
1.483,283.646,72.321
1.405,282.266,71.246
1.366,282.368,70.807
1.522,281.853,67.217
1.483,284.093,71.167
1.093,284.205,64.781
1.678,283.536,55.935
1.6,283.374,59.115
1.678,283.13,56.972
1.327,282.98,62.801
2.108,281.526,68.83
1.366,283.734,59.537
1.405,282.508,66.022
1.834,281.278,76.001
1.171,282.596,62.078
1.015,281.724,52.715
1.483,285.847,40.932
1.366,285.436,58.829
1.639,283.897,68.238
1.444,283.848,64.774
1.366,284.521,68.816
1.6,285.01,69.091
1.327,286.681,49.629
1.405,287.527,49.16
1.288,283.736,64.874
1.171,282.521,61.852
1.21,281.049,66.769
1.171,281.505,68.27
1.444,281.984,61.13
1.444,284.53,60.226
1.756,285.95,52.474
1.522,286.795,61.886
1.366,288.964,73.844
2.147,288.969,75.68
1.639,286.362,74.691
1.522,284.946,78.109
1.249,284.854,81.095
1.249,285.995,76.183
1.21,288.572,79.865
1.678,289.406,83.548
1.327,289.084,90.678
1.483,290.501,89.173
1.678,288.734,72.102
1.756,285.728,57.83
1.6,283.538,60.009
1.366,283.355,63.523
1.678,285.86,59.051
1.21,286.846,57.241
1.327,286.498,68.74
1.327,288.388,59.573
1.171,289.1,65.513
1.678,287.775,48.754
1.678,286.917,51.053
1.6,286.683,62.548
1.639,285.832,55.935
1.561,284.732,61.857
1.522,284.211,48.586
1.405,283.676,43.538
1.444,284.027,48.002
1.171,285.519,50.085
1.327,285.336,34.842
1.444,287.841,42.141
1.288,287.343,50.426
1.522,285.802,46.718
1.6,286.574,48.8
1.171,287.042,54.984
0.937,286.491,48.377
1.21,286.175,56.284
0.937,286.833,46.987
1.561,286.186,46.682
1.561,287.195,47.54
1.249,287.384,50.75
1.6,288.276,37.237
1.327,286.67,36.451
1.639,288.601,43.193
1.444,287.302,50.251
1.366,288.975,54.618
1.756,287.415,48.083
1.054,287.148,48.985
1.678,287.115,55.475
