mortality_rate,T2M,PM10
2.264,278.138,9.021
2.03,281.745,5.256
1.874,280.523,4.946
2.069,280.421,6.823
1.913,278.961,7.532
1.756,281.504,5.607
1.756,279.519,4.674
2.147,281.866,5.979
2.186,278.044,3.433
1.249,280.358,6.159
2.342,282.104,5.962
1.444,280.847,5.122
1.678,279.163,4.99
2.186,280.905,5.59
1.795,276.678,7.525
1.678,278.028,5.812
2.576,278.681,3.722
2.03,280.647,8.244
1.756,278.567,6.767
1.834,275.684,3.846
1.834,275.259,3.341
1.756,272.845,2.798
1.678,275.514,3.155
2.186,274.234,4.348
1.327,277.705,5.215
1.834,278.78,4.707
1.366,280.84,2.884
1.913,280.227,6.49
1.834,277.497,6.048
2.147,282.047,4.47
1.6,281.423,7.329
1.678,279.311,8.418
1.6,276.103,5.702
1.678,275.448,15.42
1.639,274.143,7.673
1.522,272.302,9.351
1.21,272.776,4.874
1.756,273.698,7.399
1.991,273.945,13.971
2.342,275.422,7.243
1.991,277.493,7.311
2.342,277.715,5.839
1.834,278.106,7.177
1.795,277.976,8.286
1.795,280.167,13.24
2.303,279.535,9.137
1.834,277.949,8.656
2.537,275.991,11.195
1.795,278.86,21.118
1.756,280.551,10.62
1.795,278.83,14.087
2.225,280.151,7.458
1.795,280.312,15.71
1.561,280.282,13.818
1.717,278.854,10.187
2.186,277.452,5.295
2.381,278.807,5.683
1.991,279.545,6.013
2.225,278.097,3.53
1.913,277.712,9.01
1.795,278.417,7.678
1.678,278.278,7.769
2.108,279.612,7.114
2.225,280.425,4.978
1.522,279.295,6.565
2.069,279.372,6.575
2.108,278.603,10.293
1.795,281.709,8.57
1.405,282.596,11.974
1.834,281.12,7.643
1.522,279.907,9.777
1.717,280.895,10.956
2.147,280.226,8.449
1.522,279.135,5.415
1.561,281.801,4.917
1.6,275.632,9.146
1.639,275.383,4.915
1.874,274.244,4.198
1.678,275.065,4.638
2.069,279.48,4.324
1.6,278.897,7.934
1.913,278.047,17.424
1.444,280.596,28.52
2.381,280.297,36.618
1.639,281.351,43.465
1.444,280.383,41.756
1.405,279.72,33.59
1.327,280.258,38.913
1.717,280.154,14.836
1.444,279.832,8.238
2.264,279.524,13.645
1.639,278.887,4.93
1.483,280.827,8.971
1.756,282.669,9.253
2.303,281.321,5.327
1.6,281.625,8.426
1.249,282.585,8.53
1.288,283.353,5.126
1.405,283.781,4.881
1.678,283.556,6.187
1.249,283.305,13.204
1.874,283.049,24.459
1.678,285.436,34.628
1.6,286.962,32.446
2.147,284.624,12.628
1.6,281.901,6.941
1.639,281.364,7.539
1.132,282.212,7.112
1.444,280.416,13.926
1.795,285.006,17.02
1.366,284.698,10.715
1.327,285.253,6.169
1.717,286.269,5.125
1.991,286.014,6.783
0.976,283.298,4.487
1.483,281.891,5.352
1.405,282.637,9.275
1.444,283.603,12.085
1.171,283.219,7.963
1.483,283.646,8.244
1.405,282.266,7.954
1.366,282.368,9.346
1.522,281.853,7.552
1.483,284.093,12.874
1.093,284.205,11.946
1.678,283.536,7.567
1.6,283.374,6.676
1.678,283.13,5.982
1.327,282.98,5.791
2.108,281.526,5.514
1.366,283.734,5.307
1.405,282.508,6.989
1.834,281.278,2.923
1.171,282.596,3.881
1.015,281.724,4.79
1.483,285.847,3.043
1.366,285.436,7.339
1.639,283.897,7.46
1.444,283.848,7.916
1.366,284.521,8.097
1.6,285.01,7.585
1.327,286.681,8.852
1.405,287.527,6.873
1.288,283.736,4.836
1.171,282.521,4.788
1.21,281.049,3.837
1.171,281.505,5.999
1.444,281.984,2.02
1.444,284.53,6.052
1.756,285.95,13.404
1.522,286.795,19.153
1.366,288.964,21.03
2.147,288.969,22.7
1.639,286.362,15.099
1.522,284.946,12.265
1.249,284.854,12.036
1.249,285.995,11.008
1.21,288.572,14.158
1.678,289.406,19.323
1.327,289.084,9.998
1.483,290.501,16.555
1.678,288.734,20.981
1.756,285.728,3.13
1.6,283.538,4.346
1.366,283.355,3.5
1.678,285.86,9.49
1.21,286.846,11.756
1.327,286.498,14.117
1.327,288.388,16.624
1.171,289.1,10.712
1.678,287.775,12.402
1.678,286.917,14.25
1.6,286.683,12.309
1.639,285.832,5.697
1.561,284.732,5.05
1.522,284.211,5.058
1.405,283.676,5.378
1.444,284.027,4.175
1.171,285.519,2.344
1.327,285.336,4.671
1.444,287.841,8.093
1.288,287.343,8.554
1.522,285.802,3.893
1.6,286.574,3.099
1.171,287.042,8.385
0.937,286.491,6.044
1.21,286.175,2.509
0.937,286.833,6.861
1.561,286.186,7.988
1.561,287.195,6.27
1.249,287.384,4.009
1.6,288.276,5.643
1.327,286.67,7.204
1.639,288.601,5.47
1.444,287.302,7.162
1.366,288.975,7.424
1.756,287.415,5.665
1.054,287.148,6.151
1.678,287.115,7.146
1.522,286.978,5.214
1.249,283.384,3.348
1.132,286.232,6.515
1.522,286.543,11.835
1.366,287.254,9.01
1.21,287.385,6.278
1.561,287.004,8.36
1.522,287.608,4.302
1.327,286.876,2.027
1.366,285.289,3.607
1.093,285.756,2.946
1.678,287.783,5.494
1.366,288.345,6.991
1.522,287.308,8.086
1.366,289.12,7.935
1.483,290.722,3.427
1.6,291.328,14.274
1.327,287.858,7.605
1.405,285.889,3.357
1.327,286.671,6.268
1.288,287.349,7.899
1.171,287.896,9.166
1.288,288.805,11.436
1.444,286.895,5.454
1.678,286.268,4.86
1.171,286.625,7.598
1.366,287.143,4.692
1.561,285.155,7.878
1.132,285.658,10.41
1.171,286.448,7.219
1.249,286.057,4.522
1.913,285.663,4.398
1.561,287.257,8.633
1.444,287.613,6.502
1.522,287.107,9.709
1.678,288.805,9.69
1.21,289.15,6.313
1.015,287.019,6.008
1.405,286.385,10.546
1.171,285.54,11.93
1.093,285.606,6.393
1.522,287.998,5.36
1.405,288.044,7.665
1.444,287.82,6.392
